Álava,16
Albacete,8
Alicante,10
Almería,1
Ávila,7
Badajoz,11
Islas Baleares,4
Barcelona,9
Burgos,7
Cáceres,11
Cádiz,1
Castellón,10
Ciudad Real,8
Córdoba,1
La Coruña,12
Cuenca,8
Girona,9
Granada,1
Guadalajara,8
Guipúzcoa,16
Huelva,1
Huesca,2
Jaén,1
León,7
Lleida,9
La Rioja,17
Lugo,12
Madrid,13
Málaga,1
Murcia,14
Navarra,15
Orense,12
Asturias,3
Palencia,7
Las Palmas,5
Pontevedra,12
Salamanca,7
Tenerife,5
Cantabria,6
Segovia,7
Sevilla,1
Soria,7
Tarragona,9
Teruel,2
Toledo,8
Valencia,10
Valladolid,7
Vizcaya,16
Zamora,7
Zaragoza,2
Ceuta,18
Melilla,19
